Item,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks),p,Cummulative Sum,Cummulative Percentage,Class
9,120000,2.21,8,0.999459549,0.999459549,10.38895344,A
4,113544,25.32,6,0.361762606,1.361222154,14.1493206,A
48,96000,2.21,8,0.110640031,1.471862185,15.29937628,A
74,3708,36.36,4,0.103094669,1.574956854,16.37100116,A
73,3820,112.32,12,0.102956159,1.677913013,17.44118629,A
72,3860,165.29,4,0.102906632,1.780819645,18.5108566,A
63,3900,39.37,8,0.102857233,1.883676878,19.58001343,A
29,4000,3.66,6,0.102733469,1.986410347,20.64788379,B
33,4000,3.66,6,0.102733469,2.089143816,21.71575415,B
87,4000,2.04,8,0.102733469,2.191877285,22.7836245,B
67,4000,3.66,7,0.102733469,2.294610754,23.85149486,B
37,4000,3.51,10,0.102733469,2.397344223,24.91936522,B
31,4000,31.02,10,0.102733466,2.500077688,25.98723554,B
58,4000,48.25,6,0.102733461,2.60281115,27.05510582,B
61,4000,104.38,8,0.102733432,2.705544582,28.12297579,B
78,4080,64.24,10,0.102634388,2.808178969,29.18981624,B
95,4200,74.31,12,0.102485694,2.910664663,30.25511109,B
38,4400,72.31,8,0.102237649,3.012902312,31.31782761,B
71,4460,72.56,8,0.102163178,3.11506549,32.37977004,B
99,4880,8.51,4,0.101641163,3.216706653,33.43628634,B
75,4960,68.11,6,0.101541566,3.318248219,34.49176738,B
70,5280,152.88,12,0.101142701,3.41939092,35.54310239,B
39,5600,3.51,10,0.100743223,3.520134144,36.590285,B
8,5652,41.09,8,0.100678217,3.620812361,37.6367919,B
52,6000,26.64,12,0.100242696,3.721055057,38.67877174,B
54,6000,34.99,8,0.100242695,3.821297752,39.72075157,B
26,6000,65.24,8,0.100242684,3.921540436,40.76273128,B
40,6000,67,12,0.100242683,4.02178312,41.80471099,B
30,6000,129.94,10,0.10024264,4.122025759,42.84669025,B
88,6080,34.99,10,0.100142445,4.222168205,43.88762803,B
81,6152,87.98,8,0.100052157,4.322220362,44.9276273,B
56,6400,11.55,8,0.099740969,4.42196133,45.9643919,B
93,6408,103.66,12,0.099730885,4.521692215,47.00105168,B
100,7200,70.76,6,0.098733838,4.620426054,48.0273476,B
97,7440,2.12,8,0.098430762,4.718856815,49.05049316,B
94,7560,69.59,8,0.098279031,4.817135846,50.07206154,C
