Item,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks),S+,S-,S+ + S-,p,,,,,,,,
1,0.056131538,4.96E-05,7.58E-06,0.095370601,0.004419418,0.099790019,0.044287177,,,,,,,,
2,0.113121589,3.14E-06,7.58E-06,0.038380539,0.003215617,0.041596156,0.077305629,,,,,,,,
3,0.035603,0.000102832,3.79E-06,0.115899171,0.008753859,0.12465303,0.070225799,,,,,,,,
4,0.143351313,3.20E-05,3.79E-06,0.008150868,0.004620035,0.012770903,0.361762606,,,,,,,,
5,0.025755362,4.81E-05,7.58E-06,0.125746774,0.01113293,0.136879704,0.081333681,,,,,,,,
6,0.072418017,8.88E-05,2.53E-06,0.079084158,0.001587651,0.080671808,0.019680364,,,,,,,,
7,0.020200284,3.22E-06,3.79E-06,0.131301844,0.012560617,0.143862461,0.087309899,,,,,,,,
8,0.00713575,5.19E-05,5.05E-06,0.144366386,0.016161679,0.160528065,0.100678217,,,,,,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks)
9,0.151502127,2.79E-06,5.05E-06,2.53E-06,0.004686399,0.004688933,0.999459549,,,,,V+,0.151502,0.000003,0.000003
10,0.05555078,0.000119977,6.31E-06,0.095951419,0.0045304,0.100481819,0.045086762,,,,,V-,0.004681,0.000216,0.00001
11,0.037875532,4.42E-05,3.79E-06,0.113626603,0.008232423,0.121859027,0.067556943,,,,,,,,
12,0.045450638,3.14E-06,5.05E-06,0.106051489,0.006569057,0.112620546,0.058329116,,,,,,,,
13,0.026452271,4.67E-05,5.05E-06,0.125049864,0.010958181,0.136008045,0.080570094,,,,,,,,
14,0.012625177,4.33E-05,5.05E-06,0.138876956,0.01460699,0.153483946,0.095169495,,,,,,,,
15,0.030300425,4.44E-05,5.05E-06,0.121201709,0.010010769,0.131212478,0.076294335,,,,,,,,
16,0.023735333,2.68E-06,5.05E-06,0.127766794,0.011644943,0.139411737,0.083529141,,,,,,,,
17,0.023573731,5.06E-06,2.53E-06,0.127928396,0.011686256,0.139614653,0.083703653,,,,,,,,
18,0.025452357,8.80E-05,3.79E-06,0.126049799,0.011209211,0.13725901,0.081664666,,,,,,,,
19,0.030300425,3.23E-05,2.53E-06,0.121201706,0.010010769,0.131212474,0.076294337,,,,,,,,
20,0.036360511,4.42E-05,3.79E-06,0.115141624,0.008578897,0.123720522,0.069340941,,,,,,,,
21,0.02424034,2.85E-06,6.31E-06,0.127261787,0.011516174,0.138777961,0.082982728,,,,,,,,
22,0.023705033,4.64E-05,7.58E-06,0.127797102,0.011652685,0.139449787,0.083561869,,,,,,,,
23,0.030300425,0.000122035,7.58E-06,0.121201761,0.010010768,0.131212529,0.076294303,,,,,,,,
24,0.015150213,8.34E-05,7.58E-06,0.136351939,0.013912107,0.150264045,0.092584401,,,,,,,,
25,0.077528689,7.43E-05,1.01E-05,0.073973474,0.000819643,0.074793117,0.010958804,,,,,,,,
26,0.007575106,8.24E-05,5.05E-06,0.143927043,0.016035027,0.159962071,0.100242684,,,,,,,,
27,0.017220742,2.63E-05,7.58E-06,0.134281388,0.013351823,0.147633211,0.090439157,,,,,,,,
28,0.011620213,5.40E-05,6.31E-06,0.139881924,0.014887102,0.154769026,0.096189157,,,,,,,,
29,0.005050071,4.62E-06,3.79E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
30,0.007575106,0.000164052,6.31E-06,0.143927112,0.016035027,0.159962139,0.10024264,,,,,,,,
31,0.005050071,3.92E-05,6.31E-06,0.146452061,0.016768181,0.163220242,0.102733466,,,,,,,,
32,0.044440624,4.42E-05,6.31E-06,0.107061512,0.006784191,0.113845703,0.059591105,,,,,,,,
33,0.005050071,4.62E-06,3.79E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
34,0.010478897,8.73E-05,7.58E-06,0.141023256,0.015207671,0.156230926,0.097340974,,,,,,,,
